<program>|<block>|<const def part>|<const list>|<var def part>|<var list>|<stmt>|<simple stmt>|<compound stmt>|<if stmt>|<while stmt>|<stmt list>|<empty>|<b.e.>|<relop>|<exp>|<addop>|<term>|<mop>|<fac>|<ident>|<integer>|CLASS|CONST|VAR|IF|THEN|WHILE|DO|ODD|==|!=|>=|<=|>|<|=|+|-|*|/|{|}|(|)|,|;
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|>|_|>|>|>|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|>|_|>|>|>|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|>|>|>|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|>|>|>|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|>|>|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|>|>|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|_|_
_|=|<|<|<|<|<|<|<|<|<|<=|<|_|_|_|_|_|_|_|<|_|_|<|_|<|_|<|_|_|_|_|_|_|_|_|_|_|_|_|_|<|_|_|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|_|_|>
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|<=|_|<|_|<|<|<|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|<|_|_|_
_|_|_|_|_|_|_|_|_|_|_|_|_|_|>|_|>|_|>|_|_|_|_|_|_|_|>|_|>|_|>|>|>|>|>|>|_|>|>|>|>|_|>|_|>|_|>
_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|=|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_|_
_|_|_|_|>|_|<>=|<>|<>|<>|<>|<>|<>|_|_|_|_|_|_|_|<>|_|_|_|>|<>|_|<>|_|_|_|_|_|_|_|_|_|_|_|_|_|<>|_|_|_|_|_
